ID,Name,Coordinates,Type,Province
1,آذربایجان شرقی,"46.657455911,38.005599119",province,0
2,آذربایجان غربی,"45.358173161,37.646162698",province,0
3,اردبیل,"48.08412099,38.44756018",province,0
4,اصفهان,"52.500527841,33.119744751",province,0
5,البرز,"50.81244392,35.967066697",province,0
6,ایلام,"46.919566626,33.124777218",province,0
7,بوشهر,"51.382261789,28.837729143",province,0
8,تهران,"51.734780835,35.561769196",province,0
16,چهارمحال وبختیاری,"50.645654508,32.040856025",province,0
17,خراسان جنوبی,"58.329196409,32.928303305",province,0
18,خراسان رضوی,"59.064571642,35.68213255",province,0
19,خراسان شمالی,"57.134744995,37.402500809",province,0
20,خوزستان,"49.023067568,31.451612401",province,0
21,زنجان,"48.393362741,36.505208342",province,0
22,سمنان,"54.671311861,35.423377673",province,0
23,سیستان وبلوچستان,"60.738712797,27.91477435",province,0
24,فارس,"53.254773391,29.164414999",province,0
25,قزوین,"49.766882976,36.091915787",province,0
26,قم,"51.04567986,34.69230703",province,0
27,کردستان,"46.982168937,35.680601372",province,0
28,کرمان,"57.313638603,29.595840732",province,0
29,کرمانشاه,"46.688100444,34.434566608",province,0
30,کهگیلویه وبویراحمد,"50.840223453,30.768287678",province,0
31,گلستان,"55.090960767,37.319996037",province,0
32,گیلان,"49.489480204,37.26118093",province,0
33,لرستان,"48.433747876,33.464293339",province,0
34,مازندران,"52.38919139,36.382721887",province,0
35,مرکزی,"49.954828123,34.491599683",province,0
36,هرمزگان,"56.452980774,27.020350527",province,0
37,همدان,"48.610733886,34.893465671",province,0
38,یزد,"54.61418449,31.806343956",province,0
495,آب بر,"48.952582136,36.927923362",city,21
580,آباد,"51.250106902,29.029348722",city,7
191,آبادان,"48.60038637,30.20422262",county,20
260,آباده,"52.433819779,31.208023216",county,24
593,آباده طشک,"53.725892479,29.811035353",city,24
980,آبپخش,"51.066458625,29.367930216",city,7
1805,آبدان,"51.767845155,28.07969484",city,7
86,آبدانان,"47.524275265,32.846182428",county,6
884,آبژدان,"49.453219362,32.063647833",city,20
1648,آبسرد,"52.15643407,35.6221404",city,8
800,آبش احمد,"47.315800105,39.045485572",city,1
889,آبعلی,"51.966525362,35.768157253",city,8
857,آبگرم,"49.284298418,35.757613596",city,25
1763,آبی بیگلو,"48.552855778,38.281799327",city,3
1225,آبیز,"59.964335098,33.69459373",city,17
297,آبیک,"50.351996466,36.091762894",county,25
1580,آجین,"47.926010444,34.737338493",city,37
1661,آچاچی,"47.781449512,37.398178123",city,1
1,آذرشهر,"45.817293148,37.722983723",county,1
227,آرادان,"52.632297935,34.904195081",county,22
1468,آراللو,"48.421704203,38.138569048",city,3
52,آران و بیدگل,"51.894914836,34.156913257",county,4
1349,آرمرده,"45.794661858,35.930934231",city,27
665,آرین شهر,"59.23306909,33.329678963",city,17
359,آزادشهر,"55.335391394,36.989916591",county,31
1491,آزادی,"48.24794784,32.399082876",city,20
1190,آسارا,"51.171497606,36.028947145",city,5
373,آستارا,"48.747428495,38.350940583",county,32
663,آستانه,"49.347395059,33.886963608",city,35
374,آستانه اشرفیه,"49.975834838,37.333345088",county,32
483,آستانه سرا,"56.47,32.01",city,34
1511,آسمان آباد,"46.464651509,33.849720512",city,6
8776,آشار,"56.47,32.01",city,23
422,آشتیان,"50.057297506,34.43766608",county,35
918,آشخانه,"56.923916683,37.558001522",city,19
192,آغاجاری,"49.904942969,30.750836404",county,20
360,آق قلا,"54.532622363,37.166980941",county,31
1417,آقکند,"48.058991932,37.258791879",city,1
1484,آکند,"53.078713281,36.695815085",city,34
1539,آلاشت,"52.83137015,36.06637619",city,34
1236,آلماجق,"56.47,32.01",city,18
681,آلنی,"56.47,32.01",city,3
685,آلونی,"51.062508393,31.55194141",city,16
400,آمل,"52.246490887,36.108499746",county,34
1403,آوا,"56.736721441,37.478045855",city,19
1026,آواجیق,"44.154032731,39.331041235",city,2
298,آوج,"49.228638224,35.672321138",county,25
1820,آوه,"50.418299088,34.797390763",city,35
1210,آیسک,"58.382047199,33.884064593",city,17
457,ابرکوه,"53.380823942,31.097091597",county,38
820,ابریشم,"51.576099175,32.56947567",city,4
219,ابهر,"49.133560463,36.165621338",county,21
1319,ابوحمیظه,"48.218696075,31.5268775",city,20
1622,ابوزیدآباد,"51.765846095,33.907921011",city,4
434,ابوموسی,"54.750581895,26.120667183",county,36
1315,احمد سر گوراب,"49.366132123,37.136553774",city,32
888,احمدآباد,"53.988856712,32.357335827",city,38
989,احمدآبادصولت,"60.693619347,35.116414932",city,18
831,اختیارآباد,"56.919078088,30.328310302",city,28
1346,ادیمی,"61.416070089,31.105410638",city,23
423,اراک,"49.799419792,34.149858766",county,35
485,اربطان,"46.937640831,38.174287542",city,1
1532,ارجمند,"52.512608796,35.818647953",city,8
858,ارد,"53.625086533,27.729557723",city,24
722,ارداق,"49.826518053,36.05326366",city,25
41,اردبیل,"48.285444109,38.251972822",county,3
53,اردستان,"52.542695561,33.563597987",county,4
458,اردکان,"54.765499861,32.606939201",county,38
1598,اردکان,"51.992826465,30.245021249",city,24
129,اردل,"50.462130937,31.92047173",county,16
1433,اردیموسی,"48.133898934,38.199334749",city,3
314,ارزوئیه,"56.525795813,28.440818963",county,28
557,ارسک,"57.374988726,33.700633147",city,17
261,ارسنجان,"53.392719631,29.841593735",county,24
606,ارطه,"52.944528489,36.494945297",city,34
1780,ارکواز,"46.595923182,33.384347209",city,6
647,ارمغانخانه,"48.361649783,36.973261193",city,21
22,ارومیه,"45.023454661,37.632378089",county,2
1014,اروندکنار,"48.527100842,29.983539142",city,20
773,ازگله,"45.84190222,34.832794669",city,29
389,ازنا,"49.428989731,33.503029717",county,33
954,ازندریان,"48.693943589,34.50325611",city,37
1795,اژیه,"52.374587594,32.440200538",city,4
1772,اسالم,"48.969293471,37.703873144",city,32
499,اسپکه,"60.172115172,26.836848673",city,23
262,استهبان,"54.018407939,29.139061047",county,24
1186,اسحق آباد,"59.006555765,36.031111935",city,18
447,اسدآباد,"48.025287901,34.783734194",county,37
1023,اسدیه,"60.027547681,32.909016761",city,17
537,اسفدن,"59.782329114,33.63984325",city,17
183,اسفراین,"57.544673859,36.963619807",county,19
717,اسفرورین,"49.736613836,35.938399229",city,25
13135,اسفندک,"56.47,32.01",city,23
18738,اسفهلان,"56.47,32.01",city,1
2,اسکو,"45.826980899,37.873798531",county,1
1293,اسلام آباد,"47.696890346,39.559131081",city,3
337,اسلام آباد غرب,"46.679422621,34.023136257",county,29
118,اسلامشهر,"51.246992418,35.584707237",county,8
1563,اسلامشهر آق گل,"48.988922761,34.560358333",city,37
536,اسلامیه,"58.217650382,34.041154899",city,17
12865,اسماعیل آباد,"56.47,32.01",city,23
846,اسیر,"52.671780834,27.726920878",city,24
1336,اشتر جان,"51.469341756,32.480820226",city,4
652,اشترینان,"48.641485174,34.013552588",city,33
79,اشتهارد,"50.423029762,35.713903737",county,5
459,اشکذر,"54.043853413,31.982404979",county,38
1666,اشکنان,"53.611468006,27.2268839",city,24
